Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
90	H3K36me2	C75H12		human	rabbit monoclonal	Cell Signaling Technology	2901	1:1000	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
91	UNG	OTI1A11		Human	mouse IgG1	Invitrogen	MA5-25680	1:2500	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
92	HLA-DR BUV805	G46-6	BUV805	Human	?	BD Bioscience	568335		Abs box 4	B6		Fridge	NA	Van Boxtel
93	CD95 APC	DX2	APC	Human	mouse IgG1 kappa	BioLegend	305611		Abs box 3	C7		Fridge	NA	Van Boxtel
94	aliquot CD13 PerCP/Cy5.5	WM15	PerCP/Cy5.5	Human	Mouse IgG1, κ	BD Biosciences	561361	FACS	Abs box 5	D10		Fridge	NA	Van Boxtel
95	CD90 APC	5E10	APC	Human	mouse IgG1 kappa	BioLegend	328113	1:200	Abs box 3	C4	YES	Fridge	NA	Van Boxtel
96	CD16 APC	3G8	APC	Human	mouse IgG1 kappa	BioLegend	302012		Abs box 2	B1		Fridge	NA	Van Boxtel
97	CD19 APC	HIB19	APC	Human	mouse IgG1 kappa	BioLegend	302211		Abs box 2	B4		Fridge	NA	Van Boxtel
98	CD8a BV650	RPA-T8	Brilliant Violet 650	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 1	C6		Fridge	NA	Van Boxtel
99	CD117 BUV395	YB5.B8	BUV395	Human	Mouse BALB/c IgG1	BD Bioscience	745740	1:200	Abs box 3	D5		Fridge	NA	Van Boxtel
100	TCR Vg9 APC/Fire 750	B3	APC Fire750 	Human	Mouse IgG1, κ	BioLegend 	331315		Abs box 4	C6		Fridge	NA	Van Boxtel
101	CD30 APC	BY88	APC	Human	mouse IgG1 kappa	BioLegend	333909	1:25	Abs box 2	C5		Fridge	NA	Van Boxtel
102	CD4 PE/Cy7	OKT4	PE/Cy7	Human	Mouse BALB/c IgG1, κ	Biolegend	317413	1:500	Abs box 1	B5	YES	Fridge	NA	Van Boxtel
103	DAPI 500 uM	n.a.	n.a.	Human	n.a.	Thermo	D3571	All (IF 1:2000, FACS 1:500)	Abs box 5	D7		Fridge	NA	Van Boxtel
104	Human TruStain FC block	n.a.	n.a.	Human	n.a.	Biolegend	422301	FACS	Abs box 5	A3		Fridge	NA	Van Boxtel
105	CD2	RPA-2.10	None	Human	Mouse	Biolegend	300202	Interaction blocking	Abs box 5	C2	YES	Fridge	NA	Van Boxtel
106	CD11b BV785	ICRF44	BV785	Human	Mouse IgG1, κ	Biolegend	301345		Abs box 1	D5		Fridge	NA	Van Boxtel
107	CD105 PE/Cy7	43A3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	323217		Abs box 3	C9	YES	Fridge	NA	Van Boxtel
108	TCR Vg9 APC	B3	APC	Human	Mouse IgG1, κ	Biolegend	331309		Abs box 4	C9		Fridge	NA	Van Boxtel
109	TCRab PE/Cy5	IP26	PE Cy5	Human	mouse IgG1 kappa	BioLegend	306710		Abs box 4	C8		Fridge	NA	Van Boxtel
110	CD8a BV711	RPA-T8	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	301043	1:500	Abs box 1	C7	YES	Fridge	NA	Van Boxtel
111	FANCG			Human	monoclonal	Abnova	H00002189-M01		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
112	TCRgd APC/Fire 750	B1	APC/Fire 750	Human	Mouse IgG1, κ	BioLegend	331227		Abs box 4	C1		Fridge	NA	Van Boxtel
113	CD1c APC	L161	APC	Human	mouse IgG1 kappa	Biolegend	331523		Abs box 1	A3		Fridge	NA	Van Boxtel
114	anti-mouse IgG AF647	n.a.	Alexa Fluor 647	Mouse	goat	Invitrogen	2272554	IF	Abs box 5	B8		Fridge	NA	Van Boxtel
115	CD34 PE 	561	PE	Human	mouse IgG2a kappa	BioLegend	343605		Abs box 2	D4		Fridge	NA	Van Boxtel
116	CD54	HCD54	None	Human	Mouse	Biolegend	322702	Interaction blocking	Abs box 5	C3	YES 	Fridge	NA	Van Boxtel
117	HLA-DR BV605	L243	BV605	Human	Mouse IgG2a kappa 	BioLegend	307639		Abs box 4	B5	Yes	Fridge	NA	Van Boxtel
118	CD16 PerCP/Cy5.5	3G8	PerCP/Cy5.5	Human	Mouse IgG1, k	BioLegend	302027		Abs box 2	B2		Fridge	NA	Van Boxtel
119	ATR			Human	rabbit polyclonal	Abcam	ab2905		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
120	CD11c FITC	3.9	FITC	Human	Mouse IgG1, kappa	BioLegend	301604		Abs box 1	D8	YES	Fridge	NA	Van Boxtel
121	CD141 APC	M80	APC	Human	Mouse IgG1 k	BioLegend	344105		Abs box 4	A1		Fridge	NA	Van Boxtel
