Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
760	CD326 (EpCAM) Pe/Cy7	9C4	Pe-Cy7	Human	Mouse IgG2b, κ	Biolegend	324221	FACS	Abs box 5	D3		Fridge	NA	Molenaar
761	LFA-1 (CD11a/CD18)	M24	None	Human	Mouse mAb	Biolegend	363402	Interaction blocking	Abs box 5	C5	YES	Fridge	NA	Molenaar
762	CD265 (RANK) AF647	9A725	AF647	Human	IgG1, k 	BD Pharmigen	566348	FACS	Abs box 5	D2		Fridge	NA	Molenaar
763	CD80 BV510	2D10	Brilliant Violet 510	Human	Mouse IgG1, κ	Biolegend	305233		Abs box 3	C3	YES	Fridge	NA	Molenaar
764	CellTrace Violet					Invitrogen	C34571		Abs freezer box 1	NA		Freezer	FACS	Molenaar
765	CD3 BV711	UCHT1	BV711	Human	Mouse IgG1, kappa	BioLegend	300463		Abs box 1	A4		Fridge	NA	Molenaar
766	CD44 PE	?	PE	Human	?	Miltenyi	130095180		Abs box 3	A3		Fridge	NA	Molenaar
767	CD16 FITC	3G8	FITC	Human	mouse IgG1 kappa	BioLegend	302005	1:100	Abs box 2	A10	YES	Fridge	NA	Molenaar
768	CD16 PerCP/Cy5.5	3G8	PerCP/Cy5.5	Human	Mouse IgG1, k	BioLegend	302027		Abs box 2	B2		Fridge	NA	Molenaar
769	Streptavidin BUV661	n.a.	BUV661	Mouse	n.a.	BD BIoscience	565081	FACS	Abs box 5	C10		Fridge	NA	Molenaar
770	CD3 BV650	UCHT1	Brilliant Violet 650	Human	mouse IgG1 kappa	BioLegend	300467		Abs box 1	A7		Fridge	NA	Molenaar
771	FCR-Blocker (for MACS)	n.a.	n.a.	Human	n.a	Miltenyi biotec	120-000-816	FACS	Abs box 5	D9		Fridge	NA	Molenaar
772	CCRL1 BV786	13E11	Brilliant Violet 786	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747802		Abs box 4	D1		Fridge	NA	Molenaar
773	Invariant NK/T BV480	6B11	Brilliant Violet 480	Human	Mouse C57BL/6 IgG1, κ	BD Bioscience	746788	FACS	Abs box 5	C9		Fridge	NA	Molenaar
774	HPRT			Human	rabbit polyclonal	Abcam	ab10479	1:2000	Abs freezer box 1	NA		Freezer	WB	Molenaar
775	APOBEC3A			Human	rabbit polyclonal	Sigma	HPA043237-100UL		Abs freezer box 1	NA		Freezer	WB	Molenaar
776	CD8a BV421	RPA-T8	BV421	Human	Mouse IgG1, κ	Biolegend	301036		Abs box 1	C8		Fridge	NA	Molenaar
777	S100A4 PerCP-Cy5.5	NJ04F3-D1	PerCP-Cy5.5	Human	n.a.	Biolegend	370009	FACS (intracellular)	Abs box 5	D6		Fridge	NA	Molenaar
778	CD117 BV605	YbB5.B8	BV5605	Human	Mouse IgG1, κ	BD Bioscience	745259		Abs box 3	D4		Fridge	NA	Molenaar
779	NFIA			Human	Rabbit	Sigma	HPA008884-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Molenaar
780	anti-mouse IgG AF488	n.a.	Alexa Fluor 488	Mouse	Goat / IgG	invitrogen	2220848	IF	Abs box 5	B1		Fridge	NA	Molenaar
781	Vybrant DyeCycle Violet Stain	n.a.	n.a.	Human	n.a.	Invitrogen	V35003	FACS	Abs box 5	E6		Fridge	NA	Molenaar
782	CD95 PE	DX2	PE	Human	mouse IgG1 kappa	BioLegend	305607	1:50	Abs box 3	C8		Fridge	NA	Molenaar
783	MBD4			Human	rabbit polyclonal	Abcam	ab12187		Abs freezer box 1	NA		Freezer	WB	Molenaar
784	CD40 BUV563	5C3	BUV563	Human	?	BD Bioscience	741381		Abs box 2	D10		Fridge	NA	Molenaar
785	AnnexinV APC	n.a.	APC	Human	n.a.	Biolegend	640941	FACS	Abs box 5	D4		Fridge	NA	Molenaar
786	CD15 AF700	HI98	AF700	Human	Mouse IgM kappa	BioLegend	301919		Abs box 2	A9		Fridge	NA	Molenaar
787	CHD-1			Human	rabbit polyclonal	Sigma	HPA022236-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Molenaar
788	CD8a PE/Cy5	HIT8a	PE Cy5	Human	Mouse IgG1, κ	Biolegend	300909		Abs box 1	C9		Fridge	NA	Molenaar
789	CD117 Pe/Cy7	104D2	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	313211	1:20	Abs box 3	D2		Fridge	NA	Molenaar
790	anti-rabbit IgG AF594	n.a.	Alexa Fluor 594	rabbit	goat	invitrogen	2165334	IF	Abs box 5	A5		Fridge	NA	Molenaar
791	CD15 (SSEA-1) FITC	HI98	FITC	Human	mouse IgM kappa	BioLegend	301903		Abs box 2	A6	YES	Fridge	NA	Molenaar
792	CD20 BV421	2H7	Brilliant Violet 421	Human	mouse IgG2b kappa	BioLegend	302329	1: 50	Abs box 2	B10	YES	Fridge	NA	Molenaar
793	CD43 BV421	1G10	Brillian Violet 421	Human	Mouse IgG1, κ	BD Biosciences	562916		Abs box 3	A1		Fridge	NA	Molenaar
794	CD45 APC-R700	HI30	APC-R700	Human	Mouse IgG1, k 	Biolegend	304023	1:2000	Abs box 3	A4		Fridge	NA	Molenaar
795	CD11b BV785	ICRF44	BV785	Human	Mouse IgG1, κ	Biolegend	301345		Abs box 1	D5		Fridge	NA	Molenaar
796	CD19 PE/Dazzle 594	HIB19	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	302251		Abs box 2	B6	YES (2x)	Fridge	NA	Molenaar
797	POLH	B-7	n.a.	Human	Mouse mAb IgG1 κ 	Santa Cruz Biotechnology	sc-17770	WB (?)	Abs box 5	C1		Fridge	NA	Molenaar
798	CD42b APC Vio770	?	APC Vio770	Human	?	Milteny Biotec	130100202		Abs box 2	E4		Fridge	NA	Molenaar
799	CD8a BV650	RPA-T8	Brilliant Violet 650	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 1	C6		Fridge	NA	Molenaar
800	FANCG			Human	monoclonal	Abnova	H00002189-M01		Abs freezer box 1	NA		Freezer	WB	Molenaar
801	TCRab FITC	IP26	FITC	Human	Mouse IgG1, κ	Biolegend 	306705		Abs box 4	B8		Fridge	NA	Molenaar
802	TCRgd APC	11F2	APC	Human	Mouse IgG1, k 	Miltenyi	130-113-500		Abs box 4	B9		Fridge	NA	Molenaar
803	CD249 BV650	2D3/APA	BV650	Human	Mouse BALB/c IgG1, κ	BD Bioscience	745361		Abs box 4	A8		Fridge	NA	Molenaar
804	CD4 APC/Cy7	SK3	APC/Cy7	Human 	Mouse IgG1, κ	BioLegend	344616		Abs box 1	B8		Fridge	NA	Molenaar
805	CD8a BV785	SK1	Brilliant Violet 785	Human	mouse IgG1 kappa	BioLegend	344739		Abs box 1	C5		Fridge	NA	Molenaar
806	Streptavidin BV711	n.a.	Brilliant Violet 711	Human	n.a.	BioLegend	405241	FACS	Abs box 5	D1		Fridge	NA	Molenaar
807	CD19 BV785	HIB19	BV785	Human	mouse IgG1 kappa	BioLegend	302239		Abs box 2	B7		Fridge	NA	Molenaar
808	CD123 APC Fire 750	6H6	APC Fire 750	Human	Mouse IgG1 k 	BioLegend	306041		Abs box 3	D9		Fridge	NA	Molenaar
809	CD3 APC	HIT3a	APC	Human	mouse IgG2a kappa	BioLegend	300311		Abs box 1	A10	YES (2x)	Fridge	NA	Molenaar
810	CD10PE/CY5	H10a	PE Cy5	Human	mouse IgG1 kappa	Biolegend	312206		Abs box 1	D4		Fridge	NA	Molenaar
811	Precision Plus Protein WesternC standard					Bio-Rad	161-0376		Abs freezer box 1	NA		Freezer	WB	Molenaar
812	Phospho RPA32 antibody	n.a.	n.a.	Human, Mouse	Rabbit polyclonal	Bethyl	A300-245A-M	WB + IF	Abs box 5	B10		Fridge	NA	Molenaar
813	CD7 PECy7	MT701	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	564019		Abs box 1	C4		Fridge	NA	Molenaar
814	RUNX1 antibody			Human	rabbit polyclonal	Abcam	ab35962		Abs freezer box 2	NA		Freezer	WB	Molenaar
815	CDT1	D10F11		Human	rabbit monoclonal	Cell Signaling Technology	8064S	?	Abs freezer box 1	NA		Freezer	WB	Molenaar
816	CD45 APC	2D1	APC	Human	mouse IgG1 kappa	BioLegend	368511	1:20	Abs box 3	A5	YES	Fridge	NA	Molenaar
817	CD33 PE/Cy7	WM53	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	303433	1:20	Abs box 2	C9	YES	Fridge	NA	Molenaar
818	Claudin-3 PE	n.a.	PE	Human	Mouse IgG2A	R&D systems	FAB4620P	FACS	Abs box 5	D5		Fridge	NA	Molenaar
819	Zombie NIR Dye					BioLegend	77184		Abs freezer box 1	NA		Freezer	FACS	Molenaar
820	CD1c APC	L161	APC	Human	mouse IgG1 kappa	Biolegend	331523		Abs box 1	A3		Fridge	NA	Molenaar
821	CD3 FITC	OKT3	FITC	Human	mouse IgG2a kappa	Biolegend	317306	1:100	Abs box 1	A5		Fridge	NA	Molenaar
822	aliquot CD45 BV510		Brilliant Violet 510						Abs box 5	E2		Fridge	NA	Molenaar
823	CD117 BUV395	YB5.B8	BUV395	Human	Mouse BALB/c IgG1	BD Bioscience	745740	1:200	Abs box 3	D5		Fridge	NA	Molenaar
824	CD64 FITC	10.1	FITC	Human	Mouse IgG1, k	BioLegend	305005		Abs box 3	B9	YES (2x)	Fridge	NA	Molenaar
825	CD144 BV421	55-7H1	BV421	Human	Mouse IgG1, κ	BD Horizon	565670		Abs box 4	A2		Fridge	NA	Molenaar
826	CD14 AF700	HCD14	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	325614	1:100	Abs box 2	A2	YES	Fridge	NA	Molenaar
827	CD3 AF700	Ucht1	AF700	Human	Mouse IgG1, k	Biolegend	300403		Abs box 1	B3	Yes	Fridge	NA	Molenaar
828	MGMT	MT 3.1	n.a.	Human	Mouse mAb IgG1 κ 	Invitrogen	MA5-13506	WB (1:500)	Abs box 5	B4		Fridge	NA	Molenaar
829	CD8a FITC	HIT8a	FITC	Human	Mouse IgG1, κ 	BioLegend	300906		Abs box 1	D2		Fridge	NA	Molenaar
830	TCRgd APC/Fire 750	B1	APC/Fire 750	Human	Mouse IgG1, κ	BioLegend	331227		Abs box 4	C1		Fridge	NA	Molenaar
831	CD105 PE/Cy7	43A3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	323217		Abs box 3	C9	YES	Fridge	NA	Molenaar
832	CD56 BUV661	NCAM16.2	BUV661	Human	Mouse BALB/c IgG2b, κ	BD optibuild	750478		Abs box 3	B7		Fridge	NA	Molenaar
833	CD90 PECy7	5E10	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	561558		Abs box 3	C5	YES	Fridge	NA	Molenaar
834	CD45 BV421	HI30	BV421	Human	Mouse IgG1, κ	Biolegend 	304031		Abs box 3	A9	YES	Fridge	NA	Molenaar
835	CD45 PECy7	HI30	PECy7	Human	Mouse IgG, kappa	Biolegend	304015		Abs box 3	A10		Fridge	NA	Molenaar
836	CD16 APC	3G8	APC	Human	mouse IgG1 kappa	BioLegend	302012		Abs box 2	B1		Fridge	NA	Molenaar
837	anti-mouse IgG AF647	n.a.	Alexa Fluor 647	Mouse	goat	Invitrogen	2272554	IF	Abs box 5	B8		Fridge	NA	Kemmeren
838	CD34 BV421	581	Brilliant Violet 421	Human	mouse IgG2a kappa	BioLegend	343609	1:20	Abs box 2	D2	YES	Fridge	NA	Kemmeren
839	CD11c FITC	3.9	FITC	Human	Mouse IgG1, kappa	BioLegend	301604		Abs box 1	D8	YES	Fridge	NA	Kemmeren
840	CD2	RPA-2.10	None	Human	Mouse	Biolegend	300202	Interaction blocking	Abs box 5	C2	YES	Fridge	NA	Kemmeren
841	CD25 PerCP-Cy5.5	M-A251	PerCP-Cy5.5	Human	Mouse BALB/c IgG1, κ	BD Pharmigen	560503		Abs box 2	C2		Fridge	NA	Kemmeren
842	Invariant NK/T BV480	6B11	Brilliant Violet 480	Human	Mouse C57BL/6 IgG1, κ	BD Bioscience	746788	FACS	Abs box 5	C9		Fridge	NA	Kemmeren
843	CD19 AF700	HIB19	Alexa Fluor 700	Human	mouse IgG1 kappa	bioLegend	302225		Abs box 2	B5		Fridge	NA	Kemmeren
844	UNG	OTI1A11		Human	mouse IgG1	Invitrogen	MA5-25680	1:2500	Abs freezer box 1	NA		Freezer	WB	Kemmeren
845	Lineage (CD3/14/19/20/56) FITC	n.a.	FITC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348701	1:20	Abs box 4	A10	YES	Fridge	NA	Kemmeren
846	CD56 BUV661	NCAM16.2	BUV661	Human	Mouse BALB/c IgG2b, κ	BD optibuild	750478		Abs box 3	B7		Fridge	NA	Kemmeren
847	Ig lambda light chain AF700	MHL-38	AF700	Human	Mouse IgG2a, κ	BioLegend	316631	FACS	Abs box 5	E3		Fridge	NA	Kemmeren
848	CD8a APC/Cy7	HIT8a	APC/Cy7	Human	Mouse IgG1, κ	Biolegend	300925		Abs box 1	C10		Fridge	NA	Kemmeren
849	HPRT			Human	rabbit polyclonal	Abcam	ab10479	1:2000	Abs freezer box 1	NA		Freezer	WB	Kemmeren
850	CD105 PE/Cy7	43A3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	323217		Abs box 3	C9	YES	Fridge	NA	Kemmeren
851	FANCG			Human	monoclonal	Abnova	H00002189-M01		Abs freezer box 1	NA		Freezer	WB	Kemmeren
852	CD127 AF488	HIL-7R-M21	AF488	Human	Mouse IgG1, κ	BD Pharmingen	567403		Abs box 3	E1		Fridge	NA	Kemmeren
853	Ghost Dye Red 780			Mammalian cells		Tonbo biosciences	13-0865	1:2000(see tube)	Abs freezer box 2	NA		Freezer	FACS	Kemmeren
854	Vybrant DyeCycle Ruby stain					Invitrogen	V10309		Abs freezer box 1	NA		Freezer	FACS	Kemmeren
855	CD19 BV711	SJ25C1	BV 711	Human	Mouse BALB/c IgG1, κ	BD Bioscience	563038		Abs box 2	B3		Fridge	NA	Kemmeren
856	Anti-rabbit IgG AF488	n.a.	Alexa Fluor 488	Rabbit	Goat	invitrogen	2284595	IF	Abs box 5	A7		Fridge	NA	Kemmeren
857	CD16 APC	3G8	APC	Human	mouse IgG1 kappa	BioLegend	302012		Abs box 2	B1		Fridge	NA	Kemmeren
858	CD15 BV711	W6D3	BV711	Human	?	BD Bioscience	563142		Abs box 2	A8		Fridge	NA	Kemmeren
859	Lamin A + C Antibody 	133A2	AF700	Human	Mouse mAb	NovusBio	NBP1-97688AF700	FACS	Abs box 5	C7		Fridge	NA	Kemmeren
860	CCRL1 BV786	13E11	Brilliant Violet 786	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747802		Abs box 4	D1		Fridge	NA	Kemmeren
861	CD56 AF488	B159	AF488	Human	Mouse IgG1, κ	BD Pharmigen	557699		Abs box 3	B5		Fridge	NA	Kemmeren
862	anti-rabbit IgG AF647	Poly4064	Alexa Fluor 647	Rabbit	donkey polyclonal	BioLegend	406414	FACS	Abs box 5	A6		Fridge	NA	Kemmeren
863	CD19 PE/Dazzle 594	HIB19	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	302251		Abs box 2	B6	YES (2x)	Fridge	NA	Kemmeren
864	CD5 APC	UCHT2	APC	Human	Mouse IgG1, κ	BioLegend	300611		Abs box 1	B10		Fridge	NA	Kemmeren
865	CD4 AF700	OKT4	AF700	Human	Mouse IgG2b, κ	Biolegend	317426		Abs box 1	B7		Fridge	NA	Kemmeren
866	FANCC			Human	rabbit polyclonal	Abcam	ab97575		Abs freezer box 1	NA		Freezer	WB	Kemmeren
867	CD11b APC	ICRF44	APC	Human	mouse IgG1 kappa	Biolegend	301309		Abs box 1	D7		Fridge	NA	Kemmeren
868	CD11c BV605	3.9	BV605	Human	mouse IgG1 kappa	Biolegend	301635		Abs box 1	D10		Fridge	NA	Kemmeren
869	CD11b APC/Cy7	ICRF44	APC/Cy7	Human	mouse IgG1 kappa	BioLegend	301341		Abs box 1	D6	YES (2x)	Fridge	NA	Kemmeren
870	HLA-DR BUV737	G46-6	BUV737	Human	Mouse IgG2a, κ	BD Bioscience	748339		Abs box 4	B3		Fridge	NA	Kemmeren
871	CD14 BV750	63D3	BV750	Human	Mouse IgG1, k	BioLegend	367135		Abs box 2	A4		Fridge	NA	Kemmeren
872	Anti-Phospho_Histone H2A.X	JBW301	n.a.	Human	Mouse mAb	Sigma/Merck	05-636	IF (1:1000)	Abs box 5	A9	YES	Fridge	NA	Kemmeren
873	CD45RA PerCP/Cy5.5	HI100	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	304121	1:20	Abs box 3	B2		Fridge	NA	Kemmeren
874	CD235a PE/Cy7	6A-R2	PE/Cy7	Human	mouse IgG2b kappa	BioLegend	563666		Abs box 4	A7		Fridge	NA	Kemmeren
875	APOBEC3A			Human	rabbit polyclonal	Sigma	HPA043237-100UL		Abs freezer box 1	NA		Freezer	WB	Kemmeren
876	OGG1	EPR4664(2)		Human	rabbit mAb	Abcam	ab124741	1:10000	Abs freezer box 1	NA		Freezer	WB	Kemmeren
877	anti-rabbit IgG AF594	n.a.	Alexa Fluor 594	rabbit	goat	invitrogen	2165334	IF	Abs box 5	A5		Fridge	NA	Kemmeren
878	anti-mouse IgG AF488	n.a.	Alexa Fluor 488	Mouse	Goat / IgG	invitrogen	2220848	IF	Abs box 5	B1		Fridge	NA	Kemmeren
879	CD90 FITC	5E10	FITC	Human	?	BioLegend	328107		Abs box 3	C6		Fridge	NA	Kemmeren
880	TCRgd BV421	11FS	BV421	Human	Mouse BALB/c IgG1	BD Bioscience	744870		Abs box 4	C2		Fridge	NA	Kemmeren
881	CD40 BUV563	5C3	BUV563	Human	?	BD Bioscience	741381		Abs box 2	D10		Fridge	NA	Kemmeren
882	CD144 BV421	55-7H1	BV421	Human	Mouse IgG1, κ	BD Horizon	565670		Abs box 4	A2		Fridge	NA	Kemmeren
883	CD41 APC/Fire750	HIP8	APC/Fire750	Human	Mouse IgG, kappa	Biolegend	303749		Abs box 2	E2		Fridge	NA	Kemmeren
884	Lineage (CD3/14/19/20/56) APC	n.a.	APC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348803		Abs box 4	B1		Fridge	NA	Kemmeren
885	CD265 (RANK) AF647	9A725	AF647	Human	IgG1, k 	BD Pharmigen	566348	FACS	Abs box 5	D2		Fridge	NA	Kemmeren
886	CD27 APCCy7	M-T271	APC/Cy7	Human	Mouse IgG1, κ	BioLegend	356423		Abs box 2	C4	YES	Fridge	NA	Kemmeren
887	CD54	HCD54	None	Human	Mouse	Biolegend	322702	Interaction blocking	Abs box 5	C3	YES 	Fridge	NA	Kemmeren
888	CD15 (SSEA-1) FITC	HI98	FITC	Human	mouse IgM kappa	BioLegend	301903		Abs box 2	A6	YES	Fridge	NA	Kemmeren
889	CD8a BV711	RPA-T8	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	301043	1:500	Abs box 1	C7	YES	Fridge	NA	Kemmeren
890	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BD Bioscience	561215		Abs box 2	D9		Fridge	NA	Kemmeren
891	CD49f PE/Cy7	GoH3	PE/Cy7	Human	rat IgG1a kappa	BioLegend	313621	1:100	Abs box 3	B3	YES	Fridge	NA	Kemmeren
892	CD3 PE-Cy7	SK7	PE-Cy7	Human	mouse IgG1 kappa	BioLegend	344815		Abs box 1	A6	YES	Fridge	NA	Kemmeren
893	CD45 PerCP/Cy5.5	HI30	PerCP/Cy5.5	Human	mouse IgG1 kappa	BioLegend	304027		Abs box 3	A8	YES	Fridge	NA	Kemmeren
894	α-Tubulin	B-5-1-2		Human	mouse mAb	Sigma	T5168-2ML	1:5000	Abs freezer box 1	NA		Freezer	WB	Kemmeren
895	CD56 BB700	NCAM16.2	BB700	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	566574	1:500	Abs box 3	B6	YES	Fridge	NA	Kemmeren
896	rabbit IgG PE isotype control	DA1E	PE		rabbit mAb	Cell Signaling Technology	5742S	FACS	Abs box 5	A2		Fridge	NA	Kemmeren
897	CD123 APC Fire 750	6H6	APC Fire 750	Human	Mouse IgG1 k 	BioLegend	306041		Abs box 3	D9		Fridge	NA	Kemmeren
898	phospho-yH2AX FITC	JBW301	FITC	Human	mouse mAb	Merck	16-202A		Abs freezer box 1	NA		Freezer	FACS	Kemmeren
899	CD3 AF700	Ucht1	AF700	Human	Mouse IgG1, k	Biolegend	300403		Abs box 1	B3	Yes	Fridge	NA	Kemmeren
900	CD45 FITC	HI30	FITC	Human	mouse IgG1 kappa	BioLegend	304005	1:50	Abs box 3	A7		Fridge	NA	Kemmeren
901	CD3 APC/Fire750	SK7	APC/Fire750	Human	mouse IgG1 kappa	BioLegend	344839	1:100	Abs box 1	B1	YES	Fridge	NA	Kemmeren
902	CD45 PECy7	HI30	PECy7	Human	Mouse IgG, kappa	Biolegend	304015		Abs box 3	A10		Fridge	NA	Kemmeren
903	TCR Vg9 APC/Fire 750	B3	APC Fire750 	Human	Mouse IgG1, κ	BioLegend 	331315		Abs box 4	C6		Fridge	NA	Kemmeren
904	CD14 AF700	HCD14	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	325614	1:100	Abs box 2	A2	YES	Fridge	NA	Kemmeren
905	CD117 APC 	YB5.B8	APC	Human	mouse IgG1 kappa	BD Pharmingen	561118		Abs box 3	D1	YES	Fridge	NA	Kemmeren
906	SETD3 antibody			Human		Sigma	HPA003591		Abs freezer box 2	NA		Freezer	WB/IF	Kemmeren
907	DAPI 500 uM	n.a.	n.a.	Human	n.a.	Thermo	D3571	All (IF 1:2000, FACS 1:500)	Abs box 5	D7		Fridge	NA	Kemmeren
908	BATF3	841702	PE	Human	Mouse	NovusBio	FAB7437P	FACS	Abs box 5	C8		Fridge	NA	Kemmeren
909	Zombie NIR Dye					BioLegend	77184		Abs freezer box 1	NA		Freezer	FACS	Kemmeren
910	CD56 BV605	NCAM16.2	BV605	Human	?	BD Biosciences	562779		Abs box 3	B8		Fridge	NA	Kemmeren
911	CD19 APC	HIB19	APC	Human	mouse IgG1 kappa	BioLegend	302211		Abs box 2	B4		Fridge	NA	Kemmeren
912	TCR Vd2 PE	B6 	PE	Human	Mouse IgG1, κ	BioLegend	331407		Abs box 4	C5		Fridge	NA	Kemmeren
913	CD41 BV510	HIP8	BV510	Human	Mouse IgG1, kappa	BioLegend	303735		Abs box 2	E1		Fridge	NA	Kemmeren
914	CD123 BUV395	7G3	BUV395	Human	Mouse IgG2a, κ	BD Bioscience	564195		Abs box 3	D7		Fridge	NA	Kemmeren
915	aliquot CD13 PerCP/Cy5.5	WM15	PerCP/Cy5.5	Human	Mouse IgG1, κ	BD Biosciences	561361	FACS	Abs box 5	D10		Fridge	NA	Kemmeren
916	S100A4 PerCP-Cy5.5	NJ04F3-D1	PerCP-Cy5.5	Human	n.a.	Biolegend	370009	FACS (intracellular)	Abs box 5	D6		Fridge	NA	Kemmeren
917	CD33 PE/Cy7	WM53	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	303433	1:20	Abs box 2	C9	YES	Fridge	NA	Kemmeren
918	CD163 APC	GHI61	APC	Human	Mouse IgG1, k	BioLegend	333609		Abs box 4	A3		Fridge	NA	Kemmeren
919	CD95 APC	DX2	APC	Human	mouse IgG1 kappa	BioLegend	305611		Abs box 3	C7		Fridge	NA	Kemmeren
920	CD34 PE/Dazzle 594	581	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	343533		Abs box 2	D3	YES	Fridge	NA	Kemmeren
921	CD205 BUV395	MMR1-7	BUV395	Human	Mouse IgG1, κ	BD Bioscience	744062		Abs box 4	A5		Fridge	NA	Kemmeren
922	CD11c BUV661	B-ly6	BUV661	Human	Mouse BALB/c IgG1, κ	BD Bioscience	565067/612968	1:200	Abs box 1	E1	YES	Fridge	NA	Kemmeren
923	MSH2 antibody aliquots	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 2	NA		Freezer	WB	Kemmeren
924	CD10 APC	HI10a	APC	Human	Mouse IgG1, κ	Biolegend	312209		Abs box 1	D3	YES (2x)	Fridge	NA	Kemmeren
925	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	334321		Abs box 2	D8		Fridge	NA	Kemmeren
926	MBD4			Human	rabbit polyclonal	Abcam	ab12187		Abs freezer box 1	NA		Freezer	WB	Kemmeren
927	MSH2	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 1	NA		Freezer	WB	Kemmeren
928	Annexin V/FITC	n.a.	FITC	Human	n.a.	Invitrogen	BMS306F1-100	FACS	Abs box 5	A4		Fridge	NA	Kemmeren
929	CD3 PE	UCHT1	PE	Human	Mouse BALB/c IgG1, κ	BD Bioscience	561809		Abs box 1	A8	Yes (2x)	Fridge	NA	Kemmeren
930	CDT1	D10F11		Human	rabbit monoclonal	Cell Signaling Technology	8064S	?	Abs freezer box 1	NA		Freezer	WB	Kemmeren
931	CD42b APC Vio770	?	APC Vio770	Human	?	Milteny Biotec	130100202		Abs box 2	E4		Fridge	NA	Kemmeren
932	Vybrant DyeCycle Violet Stain	n.a.	n.a.	Human	n.a.	Invitrogen	V35003	FACS	Abs box 5	E6		Fridge	NA	Kemmeren
933	anti-mouse IgG IRDye 680RD	n.a.	IRDye 680CW	Mouse	goat	LI-COR	925-68070	WB (1:10000)	Abs box 5	B2		Fridge	NA	Kemmeren
934	RPA32/RPA2	9H8		Human	mouse monoclonal	Abcam	ab2175		Abs freezer box 2	NA		Freezer	WB/IF	Kemmeren
935	CellTrace Violet					Invitrogen	C34571		Abs freezer box 1	NA		Freezer	FACS	Kemmeren
936	PMS2	EPR3947		Human	rabbit monoclonal	Abcam	ab110638		Abs freezer box 1	NA		Freezer	WB	Kemmeren
937	CD45RA BV605	HI100	BV605	Human	Mouse IgG2b, kappaa	Biolegend	304133		Abs box 3	B1		Fridge	NA	Kemmeren
938	CD8a PE/Cy5	HIT8a	PE Cy5	Human	Mouse IgG1, κ	Biolegend	300909		Abs box 1	C9		Fridge	NA	Kemmeren
939	CD11b BV785	ICRF44	BV785	Human	Mouse IgG1, κ	Biolegend	301345		Abs box 1	D5		Fridge	NA	Kemmeren
940	SF3B1	D7L5T		Human	Rabbit mAb	Cell Signaling Technology	14434S	1:1000 WB	Abs freezer box 2	NA		Freezer	WB (+FACS?)	Kemmeren
941	CD123 BV605	6H6	Brilliant Violet 605	Human	mouse IgG1 kappa	BioLegend	306025		Abs box 3	D6	YES	Fridge	NA	Kemmeren
942	CD117 Pe/Cy7	104D2	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	313211	1:20	Abs box 3	D2		Fridge	NA	Kemmeren
943	BLM			Human	rabbit polyclonal	Abcam	ab2179		Abs freezer box 1	NA		Freezer	WB	Kemmeren
944	CD249 BV650	2D3/APA	BV650	Human	Mouse BALB/c IgG1, κ	BD Bioscience	745361		Abs box 4	A8		Fridge	NA	Kemmeren
945									Abs box 5	C6		Fridge	NA	Kemmeren
946	Hoechst 33342	n.a.	n.a.	Human	n.a.	Thermo Fischer 	H3570	IF 	Abs box 5	E5		Fridge	NA	Kemmeren
947	POLI			Human	rabbit polyclonal	Novus biologicals	NB100-175	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Kemmeren
948	anti-mouse IgG HRP	n.a.	HRP	Mouse	sheep		NXA931V	WB (1:5000)	Abs box 5	E1		Fridge	NA	Kemmeren
949	POLH	B-7	n.a.	Human	Mouse mAb IgG1 κ 	Santa Cruz Biotechnology	sc-17770	WB (?)	Abs box 5	C1		Fridge	NA	Kemmeren
